id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
6499;Belém 1 Bedroom Historical Apartment;14455;Bruno;Lisboa;Belm;386.975;-919.768;Entire home/apt;40;3;32;01.11.2021;0.36;1;315;6;
25659;Heart of Alfama Lisbon Center - Cœur de l'Alfama;107347;Ellie;Lisboa;Santa Maria Maior;3.871.241;-912.706;Entire home/apt;50;2;127;27.11.2021;Jan 37;1;325;14;56539/AL.
29248;Apartamento Alfama com vista para o rio!;125768;Bárbara;Lisboa;Santa Maria Maior;3.871.082;-912.719;Entire home/apt;60;5;337;03.12.2021;Feb 53;1;190;13;23535/AL
29396;Alfama Hill - Boutique apartment;126415;Mónica;Lisboa;Santa Maria Maior;3.871.156;-912.987;Entire home/apt;60;2;299;03.12.2021;Feb 57;1;302;40;28737/AL
29720;TheHOUSE - Your luxury home;128075;Francisco;Lisboa;Estrela;3.871.108;-915.979;Entire home/apt;957;2;64;14.11.2021;0.48;2;248;9;55695/AL
29915;Modern and Cool Apartment in Lisboa;128890;Sara;Lisboa;Avenidas Novas;3.874.571;-915.264;Entire home/apt;50;5;46;20.10.2021;0.33;1;228;8;85851/AL.
33348;Happy Season;144484;Bruno;Lisboa;Lumiar;3.876.427;-915.301;Private room;40;1;2;22.07.2011;0.02;2;0;0;
40817;Chiado, Alecrim walk to Riverfront;176410;S.;Lisboa;Misericrdia;3.870.903;-914.313;Entire home/apt;122;1;363;18.10.2020;Feb 73;6;0;0;50054/AL
42519;Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º;136230;David;Lisboa;Misericrdia;3.871.062;-9.149;Entire home/apt;50;1;120;27.08.2021;0.97;8;161;6;81551/AL
48025;Apartment for renting  in Lisbon;218778;José;Lisboa;Misericrdia;3.871.195;-914.463;Entire home/apt;65;5;18;10.09.2020;0.14;6;261;0;66950/AL
48058;Small House Downtown Cascais;218990;Pim;Cascais;Cascais e Estoril;386.965;-942.571;Entire home/apt;80;5;33;23.07.2020;0.41;1;246;0;55201 Alojamento Local para Turistas
48854;Comfortable 4BR in historical villa, near market;222551;Dagmar;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;388.038;-93.797;Entire home/apt;250;5;45;23.12.2020;0.59;1;0;1;7884/AL
49673;Cottage Countryside / Beaches Golf;225364;Mercês;Alenquer;Alenquer (Santo Estvo e Triana);3.905.965;-904.733;Entire home/apt;230;7;6;22.08.2020;0.09;1;358;0;
50108;Duplex do Pipas;229376;Pipas;Lisboa;Estrela;3.870.388;-916.546;Entire home/apt;75;2;37;05.11.2019;0.30;2;0;0;3725/AL
52298;rooms free in lisbon;241711;Paulo;Lisboa;Misericrdia;3.871.247;-915.119;Entire home/apt;310;1;0;;;1;365;0;
56906;Lisbon Balcony Penthouse 15th Floor;270457;Antonio;Lisboa;So Vicente;3.871.851;-912.439;Entire home/apt;47;3;150;06.12.2021;Jan 13;7;345;7;22122/AL
83700;Studio Cascais- Panoramic sea view;456477;Claudio;Cascais;Cascais e Estoril;3.870.018;-943.272;Entire home/apt;49;3;166;09.11.2021;Jan 28;1;297;18;2729/AL
83933;Charming flat with terrace in Graça;335614;Sebastien;Lisboa;So Vicente;38.719.852;-9.129.011;Entire home/apt;57;2;220;26.11.2021;Jan 75;2;162;8;60551/AL
84599;LV Premier Baixa PR- Elevator, Balcony, AC, View;181902;Jose Luz;Lisboa;Santa Maria Maior;387.106;-913.689;Entire home/apt;137;1;74;17.11.2021;0.64;18;333;4;8954/AL
89015;GREAT LUXURY HOUSE IN THE CENTER;485573;Justo;Lisboa;Misericrdia;3.871.299;-915.004;Entire home/apt;95;3;28;04.01.2019;0.22;1;252;0;88834/AL
93829;Studio near to S Jorge Castle;183877;Cristina;Lisboa;So Vicente;3.871.722;-913.019;Entire home/apt;51;1;59;09.06.2019;0.64;1;222;0;Exempt
95212;BIG 3 BD CHARM&LIGHT PERFECT SPOT #green street;502806;Kathia;Lisboa;Misericrdia;3.870.901;-915.158;Entire home/apt;80;3;76;20.10.2021;0.66;1;141;2;
97503;Lovely equipped flat in city centre;515924;Joel;Lisboa;Santo Antnio;3.872.129;-91.422;Private room;22;20;43;31.08.2021;0.34;9;105;1;
103252;BALCONY · Vila Berta;538753;André & Cristina;Lisboa;So Vicente;3.871.825;-912.902;Entire home/apt;60;2;73;04.12.2021;01. Nov;7;0;15;89565/AL
107159;Noite a bordo  barco Yatch Astinor;554343;José;Lisboa;Estrela;3.870.065;-917.491;Private room;360;1;0;;;1;365;0;
112497;Ocean View from The Sunny Flat;574017;Mateus;Cascais;Cascais e Estoril;3.869.922;-944.053;Entire home/apt;99;4;11;07.09.2019;0.09;1;164;0;
119120;Lapa 2Bdr with City and River Views;387186;Nuno;Lisboa;Estrela;3.870.927;-916.122;Entire home/apt;68;3;249;18.11.2021;Jan 98;6;38;14;6820/AL
122572;A confortable room in a nice place;614156;Isabel;Lisboa;So Domingos de Benfica;3.875.643;-9.177;Private room;62;1;0;;;1;0;0;
125578;Lisbon Downtown, Historical center;624049;Sandra;Lisboa;Santa Maria Maior;3.871.341;-913.519;Entire home/apt;59;3;215;30.11.2021;Jan 73;1;284;22;
125835;Rent quarter;624965;Vanessa;Vila Franca De Xira;Vila Franca de Xira;3.895.722;-900.264;Private room;50;1;0;;;1;365;0;
125848;Historical Alfama-Pantheon Charming 1 bed flat;624278;Isabelle & Cesar;Lisboa;So Vicente;3.871.478;-91.241;Entire home/apt;69;3;143;30.09.2019;Jan 22;4;282;0;82014/AL
126646;"Room and balcony in house, overlooking the ""Tagus""";628095;Filipe;Lisboa;Penha de Frana;3.872.983;-913.183;Private room;26;1;292;22.11.2021;Mrz 27;3;87;36;Exempt
129786;House in Bairro Alto;626177;Maria Do Carmo;Lisboa;Misericrdia;3.870.853;-914.613;Entire home/apt;103;2;3;30.08.2011;0.02;1;0;0;
130708;Private Room in City Center;643374;Jesse James;Lisboa;Arroios;3.871.806;-913.738;Private room;28;3;193;30.11.2021;Jan 53;2;347;12;
130799;DAHOUSE SPORTS BEACH COLIVING & COWORKING RESIDENC;643762;Dahouse;Cascais;Carcavelos e Parede;3.868.647;-932.989;Private room;66;6;15;25.08.2015;0.13;2;362;0;
133645;A pleasure in Lisbon;656138;Juan;Lisboa;Santa Maria Maior;3.871.091;-913.251;Entire home/apt;49;2;286;06.12.2021;Feb 28;2;356;27;AL/6125
134438;The Oasis   Beautiful outside terrace and garden!;659768;Matt;Lisboa;So Vicente;3.871.841;-91.233;Entire home/apt;50;2;199;09.11.2020;Jan 59;2;320;0;60792/AL
134624;Sea views - 270 degrees;660500;Nuno;Mafra;Ericeira;3.898.554;-941.597;Entire home/apt;80;3;1;25.09.2011;0.01;1;365;0;
135261;Lisbon City Center 2 Bedroom Apt;663233;Leo;Lisboa;Misericrdia;3.871.298;-914.541;Entire home/apt;50;7;232;22.10.2021;Jan 83;1;256;2;20021/AL
136433;Near Sintra. Near Lisbon.;667914;Pe;Sintra;Algueiro-Mem Martins;3.880.698;-934.995;Private room;40;1;0;;;1;365;0;
137054;A pleasure in Lisbon 2;656138;Juan;Lisboa;Santa Maria Maior;3.871.236;-913.129;Entire home/apt;50;2;217;08.12.2021;Jan 76;2;357;30;AL/6167
137461;Atalaia apartment;218778;José;Lisboa;Misericrdia;3.871.413;-914.425;Entire home/apt;65;7;2;05.09.2012;0.02;6;364;0;
138542;Dear Home ★ In the Heart of Lisbon;676330;Margarida;Lisboa;Santo Antnio;3.871.821;-915.398;Entire home/apt;69;4;1;06.11.2021;0.88;6;49;1;
138929;Regueira street Apartm 88 4floor Alfama - 28599/AL;677938;Diogo And Maria;Lisboa;Santa Maria Maior;3.871.231;-912.918;Entire home/apt;40;2;378;06.12.2021;Feb 98;1;294;57;28599/AL
138999;Apt Cathedral with River View;678222;Helena;Lisboa;Santa Maria Maior;3.871.064;-913.278;Entire home/apt;90;4;110;04.10.2021;0.88;1;0;3;23108 - AL
140080;Apartments in Lisbon city center 1º;682628;Paulo Eduardo;Lisboa;Misericrdia;3.871.308;-914.514;Entire home/apt;132;2;29;26.08.2021;0.24;8;283;1;2691/AL
141883;Gomes Freire Studio with Balcony;688914;Luis;Cascais;Cascais e Estoril;386.961;-942.215;Entire home/apt;63;2;33;15.11.2021;0.29;35;324;3;10955/AL
144396;Casa dos Sobreiros;699865;Fernando;Mafra;Venda do Pinheiro e Santo Estvo das Gals;3.887.536;-92.401;Private room;45;1;0;;;1;365;0;
144851;Myplace-Lisbon Bairro Alto apart;701650;Mauro;Lisboa;Misericrdia;3.871.261;-914.456;Entire home/apt;90;2;89;28.11.2021;0.71;10;235;12;10977/AL
144955;Apartment near Avenida da Liberdade;702053;Carlos;Lisboa;Arroios;3.872.165;-914.079;Entire home/apt;48;3;16;04.10.2021;0.68;1;182;10;
147738;Casa Castelo de S. Jorge;713828;Ana Paula;Lisboa;So Vicente;387.155;-913.203;Entire home/apt;143;2;14;17.03.2020;0.21;2;192;0;45152/AL
148344;Casa do Celeiro (architect/artist house);716185;Mary;Sintra;Colares;3.878.808;-945.999;Entire home/apt;130;5;42;13.09.2021;0.37;1;288;5;34367
149274;Sunny 1BR - Av. D. Carlos I, Lisbon;676330;Margarida;Lisboa;Misericrdia;3.870.996;-915.206;Entire home/apt;60;3;113;11.03.2020;0.98;6;0;0;
149589;Refuge at the Heart of the Castle!;721565;Ana;Lisboa;Santa Maria Maior;3.871.331;-913.314;Entire home/apt;64;1;151;23.11.2021;Jan 25;3;241;25;31903/AL
151327;Air conditioning - Very Central -  'Cats House';727771;Susana;Lisboa;Santa Maria Maior;3.871.227;-912.942;Entire home/apt;55;3;424;29.11.2021;Mrz 35;9;12;35;84821/AL
151909;FADO/SAUDADE LargeRoom/priv.WC for 2 Sintra area;731092;Teresa;Sintra;Rio de Mouro;3.875.831;-934.034;Private room;45;2;3;21.08.2019;0.05;4;365;0;48800/AL
154968;Tranquility in Principe Real.;739283;Andre;Lisboa;Misericrdia;3.871.232;-914.931;Entire home/apt;58;2;43;26.09.2019;0.34;1;0;0;
155865;Great apartment in Lisbon!;749485;Ricardo;Lisboa;Alcntara;3.870.546;-917.579;Entire home/apt;65;2;148;18.10.2021;Jan 17;1;359;8;Registration Number: 12807/AL
158255;Charming Apartment in Lisbon;743285;Antonio;Lisboa;Estrela;3.870.994;-915.442;Entire home/apt;250;31;2;28.12.2015;0.02;1;357;0;14081960/AL
161476;Between the Castle & the Tejo;772370;Gerald Christopher;Lisboa;Santa Maria Maior;3.871.358;-913.454;Private room;31;2;165;26.11.2021;Jan 32;1;43;24;
166114;Casa do Duque, no Centro Chiado;791812;Mário;Lisboa;Santa Maria Maior;3.871.415;-914.053;Entire home/apt;57;4;192;07.02.2020;Jan 66;1;327;0;
172248;Double room near airport + free Parking;507901;Ana E Lucien;Lisboa;Alvalade;3.874.736;-913.191;Private room;30;5;46;06.09.2021;0.37;7;343;2;61861/AL
172638;Duplex at old typical Lisbon - Alfama;823780;André;Lisboa;Santa Maria Maior;3.871.043;-913.087;Entire home/apt;79;2;409;23.11.2021;Mrz 24;2;253;21;59682/AL
