id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
6499;Belém 1 Bedroom Historical Apartment;14455;Bruno;Lisboa;Belm;386.975;-919.768;Entire home/apt;40;3;27;26.01.2021;0.33;1;64
25659;Heart of Alfama Lisbon Center - Cœur de l'Alfama;107347;Ellie;Lisboa;Santa Maria Maior;3.871.241;-912.706;Entire home/apt;45;2;114;08.11.2019;Jan 31;1;303
29248;Apartamento Alfama com vista para o rio!;125768;Bárbara;Lisboa;Santa Maria Maior;3.871.082;-912.719;Entire home/apt;47;3;328;29.10.2019;Feb 78;1;143
29396;Alfama Hill - Boutique apartment;126415;Mónica;Lisboa;Santa Maria Maior;3.871.156;-912.987;Entire home/apt;54;2;272;26.11.2020;Feb 74;1;287
29720;TheHOUSE - Your luxury home;128075;Francisco;Lisboa;Estrela;3.871.108;-915.979;Entire home/apt;1114;2;55;11.03.2020;0.85;1;334
29915;Modern and Cool Apartment in Lisboa;128890;Sara;Lisboa;Avenidas Novas;3.874.571;-915.264;Entire home/apt;50;5;42;01.01.2018;0.39;1;0
33348;Happy Season;144484;Bruno;Lisboa;Lumiar;3.876.427;-915.301;Private room;40;1;2;22.07.2011;0.02;2;0
42519;Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º;136230;David;Lisboa;Misericrdia;3.871.062;-9.149;Entire home/apt;50;1;114;30.12.2019;Jan 14;11;118
48025;Apartment for renting  in Lisbon;218778;José;Lisboa;Misericrdia;3.871.195;-914.463;Entire home/apt;65;5;18;23.01.2019;0.15;5;258
48058;Small House Downtown Cascais;218990;Pim;Cascais;Cascais e Estoril;386.965;-942.571;Entire home/apt;80;5;33;12.10.2019;0.44;1;277
48854;Comfortable 4BR in historical villa, near market;222551;Dagmar;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;388.038;-93.797;Entire home/apt;190;5;45;23.12.2020;0.76;1;63
49673;Cottage Countryside / Beaches Golf;225364;Mercês;Alenquer;Alenquer (Santo Estvo e Triana);3.905.965;-904.733;Entire home/apt;230;7;6;16.08.2016;0.17;1;335
50108;Duplex do Pipas;229376;Pipas;Lisboa;Estrela;3.870.388;-916.546;Entire home/apt;85;2;37;26.06.2016;0.33;2;260
52298;rooms free in lisbon;241711;Paulo;Lisboa;Misericrdia;3.871.247;-915.119;Entire home/apt;310;1;0;;;1;365
55116;Sonho Lisboa;259744;Miguel;Lisboa;Avenidas Novas;3.872.588;-915.697;Private room;85;2;4;07.04.2018;0.22;2;365
56906;Lisbon Balcony Penthouse 15th Floor;270457;Antonio;Lisboa;So Vicente;3.871.851;-912.439;Entire home/apt;50;2;143;17.02.2020;Jan 34;7;136
75171;Long Stays - river a step away. Sunlight everyday;184400;Justostay;Lisboa;Estrela;3.870.608;-916.181;Entire home/apt;80;2;25;19.05.2015;0.32;10;227
83615;Sleep 4 - Tram 28 - 302/AL;184400;Justostay;Lisboa;Estrela;3.871.284;-915.801;Entire home/apt;85;3;18;27.11.2012;0.17;10;365
83700;Studio Cascais- Panoramic sea view;456477;Claudio;Cascais;Cascais e Estoril;3.870.018;-943.272;Entire home/apt;50;3;153;28.01.2018;Jan 54;1;287
83933;Charming flat with terrace in Graça;335614;Sebastien;Lisboa;So Vicente;3.872.095;-912.818;Entire home/apt;80;2;212;24.09.2019;02. Mai;2;172
84599;LV Premier Baixa PR- Elevator, Balcony, AC, View;181902;Jose Luz;Lisboa;Santa Maria Maior;387.106;-913.689;Entire home/apt;97;1;70;02.01.2020;0.72;16;357
89015;GREAT LUXURY HOUSE IN THE CENTER;485573;Justo;Lisboa;Misericrdia;3.871.299;-915.004;Entire home/apt;95;3;28;22.09.2017;0.45;1;79
90931;NORONHA apartment - BAIRRO ALTO;184400;Justostay;Lisboa;Santo Antnio;3.871.749;-915.441;Entire home/apt;120;3;16;14.07.2016;0.15;10;364
93829;Studio near to S Jorge Castle;183877;Cristina;Lisboa;So Vicente;3.871.722;-913.019;Entire home/apt;51;1;60;09.06.2019;0.73;1;50
95212;BIG 3 BD CHARM&LIGHT PERFECT SPOT #green street;502806;Kathia;Lisboa;Misericrdia;3.870.901;-915.158;Entire home/apt;85;2;74;21.11.2019;0.72;1;171
97503;Lovely equipped flat in city centre;515924;Joel;Lisboa;Santo Antnio;3.872.129;-91.422;Private room;22;20;42;23.04.2014;0.43;5;134
103252;BALCONY · Vila Berta;538753;André & Cristina;Lisboa;So Vicente;3.871.825;-912.902;Entire home/apt;80;2;58;02.01.2020;0.96;4;174
107159;Noite a bordo  barco Yatch Astinor;554343;José;Lisboa;Estrela;3.870.065;-917.491;Private room;360;1;0;;;1;365
112497;Ocean View from The Sunny Flat;574017;Mateus;Cascais;Cascais e Estoril;3.869.922;-944.053;Entire home/apt;99;4;11;30.06.2011;0.51;1;0
117979;appartement neuf independant .;595941;Jean-Michel;Cascais;Alcabideche;3.871.773;-941.087;Private room;89;1;0;;;7;347
119120;Lapa 2Bdr with City and River Views;387186;Nuno;Lisboa;Estrela;3.870.927;-916.122;Entire home/apt;68;3;236;31.07.2020;Feb 53;6;16
122572;A confortable room in a nice place;614156;Isabel;Lisboa;So Domingos de Benfica;3.875.643;-9.177;Private room;62;1;0;;;1;83
