id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
6499;Belém 1 Bedroom Historical Apartment;14455;Bruno;Lisboa;Belm;386.975;-919.768;Entire home/apt;54;3;29;08.08.2021;0.34;1;60;3;
25659;Heart of Alfama Lisbon Center - Cœur de l'Alfama;107347;Ellie;Lisboa;Santa Maria Maior;3.871.167;-912.696;Entire home/apt;45;2;121;08.11.2019;Jan 35;1;328;8;56539/AL.
29248;Apartamento Alfama com vista para o rio!;125768;Bárbara;Lisboa;Santa Maria Maior;3.871.272;-912.628;Entire home/apt;51;3;332;29.10.2019;Feb 75;1;171;10;23535/AL
29396;Alfama Hill - Boutique apartment;126415;Mónica;Lisboa;Santa Maria Maior;3.871.156;-912.987;Entire home/apt;52;2;283;30.07.2021;Feb 77;1;298;32;28737/AL
29720;TheHOUSE - Your luxury home;128075;Francisco;Lisboa;Estrela;3.871.195;-915.877;Entire home/apt;1114;2;58;04.09.2021;0.86;1;331;3;55695/AL
29915;Modern and Cool Apartment in Lisboa;128890;Sara;Lisboa;Avenidas Novas;3.874.712;-915.286;Entire home/apt;50;5;43;25.07.2021;0.39;1;286;6;85851/AL.
33348;Happy Season;144484;Bruno;Lisboa;Lumiar;3.876.381;-915.256;Private room;40;1;2;22.07.2011;0.02;2;0;0;
40817;Chiado, Alecrim walk to Riverfront;176410;S.;Lisboa;Misericrdia;3.870.903;-914.313;Entire home/apt;122;1;363;25.09.2019;Mrz 18;6;0;3;50054/AL
42519;Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º;136230;David;Lisboa;Misericrdia;3.870.896;-914.938;Entire home/apt;50;1;120;27.08.2021;Jan 17;11;199;6;81551/AL
48025;Apartment for renting  in Lisbon;218778;José;Lisboa;Misericrdia;3.871.309;-914.392;Entire home/apt;65;5;18;23.01.2019;0.15;5;258;0;66950/AL
48058;Small House Downtown Cascais;218990;Pim;Cascais;Cascais e Estoril;386.965;-942.571;Entire home/apt;80;5;33;12.10.2019;0.42;1;236;0;55201 Alojamento Local para Turistas
48854;Comfortable 4BR in historical villa, near market;222551;Dagmar;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;388.038;-93.797;Entire home/apt;200;5;45;23.12.2020;0.72;1;0;1;7884/AL
49673;Cottage Countryside / Beaches Golf;225364;Mercês;Alenquer;Alenquer (Santo Estvo e Triana);3.905.965;-904.733;Entire home/apt;230;7;6;16.08.2016;0.16;1;358;0;
